Course Subject,Course Number,Course Name,Course Description,See Also
CATS,643,Interdisciplinary Topics: Ethics in Research in the Creative Arts Therapies,"This course covers ethical standards and requirements for research as established by both professional mental health and creative arts therapies associations. Students become familiar with expectations of professional and personal conduct with respect to research in the field, including research protocols for both the Department of Creative Arts Therapies and Concordia University.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,645,Family Systems and the Creative Arts Therapies,"Family systems theory is introduced and specific theories and practices of family therapy are considered. Indications for the use of family therapy and its integration with the creative arts therapies are explored, as are specific methods of assessment and intervention.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,689,Research Paper,"Prerequisite: CATS 691.
The research paper is the formal culmination of graduate studies in the creative arts therapies. This paper includes a literature review, and may also include methodology, specific procedures, research population or sample, data collection and analysis, as appropriate to the topic approved by the Creative Arts Therapies Research and Ethics Committee. Students develop their proposals for this paper as a course requirement for CATS 691, to be submitted for approval to the Research and Ethics Committee in the winter term of their first year in the program. The Committee will then assign one faculty member in the Department to supervise each paper. The nine-credit component appears on the student record only once the final version of the research paper has been submitted to the Thesis Office and the Graduate Grade Activity Report Form, granting a grade of PASS, has been submitted to the Office of the Registrar.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,691,Research in the Creative Arts Therapies,"This course presents an overview of qualitative research, theory and methodology, and their application to the creative arts therapies. Students develop critical reading skills and explore ethical issues involved in research.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,698,Applied Research Project with Report,"The student chooses this option to further explore specific pilot project reports, feasibility studies and creative research designs utilizing media intrinsic to the creative arts therapies. All applied projects must include a written component and be presented as a public seminar upon completion.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,699,Comprehensive Exam,Description not available,http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
Drama,Ther,Option Courses,Description not available,http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
DTHY,600,Current Approaches to Drama Therapy,"This course provides grounding in significant theoretical theories of drama therapy and correlating schools of psychological thought and their relevance to drama therapy. It also promotes advanced knowledge and understanding of the therapeutic relationship and process from several drama therapy, psychodynamic, and psychotherapeutic perspectives. Studied psychotherapeutic models include: psychodynamic, object relations, humanistic, cognitive-behavioural, as well as theories of trauma. Drama therapy models include: role theory, projective techniques, therapeutic theatre, the use of story, and performance techniques.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
DTHY,603,Improvisation and Drama Therapy - Studio/Workshop,"This course focuses on developing skills in adapting methods of dramatic improvisation for the purpose of therapy, including exploration of projective, playback and psychodramatic techniques. Attention is given to the theory of distancing in terms of therapeutic process and dramatic form.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
DTHY,604,Drama Therapy and Groups,"This course provides a dialectical, experiential and practical examination of the major approaches to group dynamics, including psychodynamic, humanistic, systemic, and theories of communication. Stages, theories and clinical applications of group drama therapy processes are explored.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
DTHY,613,Drama Therapy Practicum Supervision I,"In this course, students acquire skills in the implementation of the principles of psychotherapy within the practices of drama therapy with a selected population. Students learn observation and assessment procedures, treatment planning, skills in establishing and maintaining the therapeutic relationship, on-going evaluation, methods of clinical documentation, and professional reporting in multidisciplinary teams. Individual and group supervision are provided. A minimum of 150 practicum hours is required.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
DTHY,614,Drama Therapy Practicum Supervision II,"Prerequisite: DTHY 613.
This course is a continuation of DTHY 613. A minimum of 200 practicum hours is required.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
DTHY,623,Advanced Drama Therapy Practicum Supervision I,"Prerequisites: DTHY 613, 614.
This course is designed to promote the consolidation of students’ abilities in the practice of drama therapy, to further develop clinical skills, and deepen psychotherapeutic understanding. Individual and group supervision are provided. Case presentations, readings and clinical analysis of therapeutic issues are integral to this course. A minimum of 200 practicum hours is required.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
DTHY,624,Advanced Drama Therapy Practicum Supervision II,"Prerequisites: DTHY 613, 614, 623.
This course is a continuation of DTHY 623. A minimum of 250 practicum hours is required.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
DTHY,643,Sociodrama and Psychodrama,Sociodrama and psychodrama practices are examined for their use as treatment modalities in drama therapy. Seminars and experiential methods of instruction integrate their practice into the aims and principles of drama therapy.,http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
DTHY,644,Child and Adolescent Drama Therapy,"This course focuses on the methodologies, processes, and assessment techniques as they relate to drama therapy, play and play therapy with children and adolescents, and their families.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
DTHY,645,Assessment in Drama Therapy,"Prerequisite: DTHY 644.
This course explores assessment tools developed in the field of drama therapy, including those based on such dramatic media as storytelling, role-plays, puppets and masks. The theory and practice of drama therapy assessment in both clinical work and research are reviewed within the context of different populations.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
DTHY,693,Research in Drama Therapy,"Prerequisite: CATS 691.
This course is designed to foster the acquisition of knowledge and methodological tools in arts-based, qualitative and quantitative methods relevant to the field of drama therapy. Emphasis is placed on the use of the practical tools necessary to conduct reliable and valid research.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,611,Counselling Skills for Creative Arts Therapists," This course introduces basic skills and practices of counselling and psychotherapy for creative arts therapists. It provides the opportunity to explore, develop, and practice the skills required for effective therapeutic interventions across varied theoretical orientations and treatment approaches. The course focuses on the therapeutic relationship and the therapeutic frame.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,615,Independent Practicum in the Creative Arts Therapies,"Prerequisites: ATRP 613, 614.
 With the Department’s approval and in agreement with a faculty supervisor, additional practicum experience is offered on an individual basis to students in special circumstances. A case study is required.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,631A,Selected Issues in the Creative Arts Therapies," This course may be repeated as CATS 631B, 631C, etc.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,636,Independent Studies in Creative Arts Therapies,This course may be repeated as CATS 637.,http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,638,Creative Process in Clinical Practice for Creative Arts Therapists," This course provides experiential learning in the clinical application of creative projection techniques through a methodology based on exploring character in myth and fairy tale. The creative process is examined through readings, discussions, masks, movement, music and drama.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,639,Interdisciplinary Topics: Cross-cultural Competence in the Creative Arts Therapies," This course presents cross-cultural competence as an ethical obligation, providing an overview of multi-cultural counselling theory. Students explore challenges and opportunities arising in creative arts therapies clinical practice within an environment of cultural diversity as it relates to both the therapist and the client.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,640,Studio Media and Practice for Creative Arts Therapists," Students develop skills with a variety of studio media and processes in their own creative arts discipline, while experiencing the media and creative process of an allied discipline. Commonalities and factors unique to each are examined for their potential in interdisciplinary practice.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,641,Interdisciplinary Topics: Ethics in Clinical Practice in the Creative Arts Therapies,This course covers ethical standards and requirements for clinical practice as established by both professional mental health and creative arts therapies associations. Students become familiar with expectations of professional and personal conduct as well as models for ethical decision-making. Students also gain an understanding of their personal value systems in relation to their work as creative arts therapists and how those values may inform ethical decision-making within their clinical practice.,http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,643,Interdisciplinary Topics: Ethics in Research in the Creative Arts Therapies," This course covers ethical standards and requirements for research as established by both professional mental health and creative arts therapies associations. Students become familiar with expectations of professional and personal conduct with respect to research in the field, including research protocols for both the Department of Creative Arts Therapies and Concordia University.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,645,Family Systems and the Creative Arts Therapies," Family systems theory is introduced and specific theories and practices of family therapy are considered. Indications for the use of family therapy and its integration with the creative arts therapies are explored, as are specific methods of assessment and intervention.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,689,Research Paper,"Prerequisite: CATS 691.
 The research paper is the formal culmination of graduate studies in the creative arts therapies. This paper includes a literature review, and may also include methodology, specific procedures, research population or sample, data collection and analysis, as appropriate to the topic approved by the Creative Arts Therapies Research and Ethics Committee. Students develop their proposals for this paper as a course requirement for CATS 691, to be submitted for approval to the Research and Ethics Committee in the winter term of their first year in the program. The Committee will then assign one faculty member in the Department to supervise each paper. The nine-credit component appears on the student record only once the final version of the research paper has been submitted to the Thesis Office and the Graduate Grade Activity Report Form, granting a grade of PASS, has been submitted to the Office of the Registrar.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,691,Research in the Creative Arts Therapies," This course presents an overview of qualitative research, theory and methodology, and their application to the creative arts therapies. Students develop critical reading skills and explore ethical issues involved in research.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,698,Applied Research Project with Report," The student chooses this option to further explore specific pilot project reports, feasibility studies and creative research designs utilizing media intrinsic to the creative arts therapies. All applied projects must include a written component and be presented as a public seminar upon completion.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,699,Comprehensive Exam,Description not available,http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
Music,Ther,Option ,Description not available,http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
MTHY,600,Music Therapy Advanced Literature," In this course, students examine music therapy and related literature in order to deepen their understanding of the influences on their own clinical and conceptual work. Cultural, musical, and theoretical frameworks are analyzed; these include psychodynamic, humanistic, cognitive behavioural, and other frameworks. Emphasis is placed on the integration of theory and music therapy process, assessment, intervention, and evidence-based practice.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
MTHY,601,"Music Therapy Supervision, Teaching, and Learning"," Examination of current theories and practices in clinical music therapy supervision and in university teaching and learning. Through lectures, demonstrations, and applied practice, students develop the necessary advanced professional competencies for clinical supervision and for excellence in teaching and learning. Topics include, but are not limited to, learning styles, teaching strategies, infusion of technology in instruction, and the creation of effective learning communities.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
MTHY,602,Advanced Clinical Improvisation in Music Therapy I," This course explores the applications of clinical improvisation processes in therapy and assessment. The specific focus is determined by identified student strengths and needs, and may include Nordoff and Robbins techniques; advanced piano techniques; analytical music therapy; and others.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
MTHY,603,Advanced Clinical Improvisation in Music Therapy II,"Prerequisite: MTHY 602, or equivalent.
 Advanced study in clinical improvisation techniques in music therapy. The specific focus is determined by the identified student experience, strengths, and needs, and may include Nordoff and Robbins techniques; advanced piano and vocal techniques; analytical music therapy; and others.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
MTHY,623,Advanced Music Therapy Practicum I," This course offers advanced clinical experience in the students’ areas of specialization. Close individual and group supervision for students are provided. Case presentations, readings, discussion of ethical issues related to students’ work are integral to this course.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
MTHY,624,Advanced Music Therapy Practicum II,"Prerequisite: MTHY 623.
 This course provides further advanced clinical experience in students’ areas of specialization. Close individual and group supervision for students are provided. Case presentations, readings, discussion of ethical issues related to students’ work are integral to this course.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
MTHY,625,"Guided Imagery and Music, Level I"," This course introduces students to the Guided Imagery and Music method (GIM) through demonstrations, theoretical discussion and personal experiences. Specific topics covered include: the role of music in GIM, relaxation techniques, types of imagery and basic guiding techniques, and the implementation of GIM in assessment. This course is graded on a Pass/Fail basis.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
MTHY,633,Advanced Music Therapy Practice I ," This course offers advanced clinical experience in the students’ areas of specialization, with a required minimum of 100 placement hours. Close individual and group supervision for students are provided. Case presentations, readings, discussion of ethical issues related to students’ work are integral to this course.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
MTHY,634,Advanced Music Therapy Practice II,"Prerequisite: MTHY 633.
 This course provides further advanced clinical experience in students’ areas of specialization, with a required minimum of 100 placement hours. Close individual and group supervision for students are provided. Case presentations, readings, discussion of ethical issues related to students’ work are integral to this course. As part of this capstone course in the Advanced Music Therapy Practice option, students complete a public presentation which reflects a major integration of their practical work.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
MTHY,693,Research in Music Therapy: Qualitative and Quantitative Methods,This course is designed to foster the acquisition of knowledge and methodological tools in qualitative and quantitative methods relevant to the field of Music Therapy. Particular emphasis is placed on acquisition of the practical tools necessary to conduct reliable and valid research to prepare students for the development of future research papers/projects in Music Therapy.,http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
MTHY,699,Thesis,"Prerequisite: CATS 691 and MTHY 693.
 The thesis topic is chosen in consultation with the thesis supervisor, and is approved by the thesis advisory committee. Students conduct an inquiry, produce the thesis, and present it orally to their thesis advisory committee. Guidelines for the thesis are described in Thesis Preparation and Thesis Examination Regulations available from the School of Graduate Studies and the Research Handbook of the Creative Arts Therapies Department.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
MTHY,503,Music Therapy with Adults,"This course provides in depth coverage of music therapy clinical practice with diverse adult populations. This includes assessment techniques, intervention methods and strategies, improvisation, counselling skills, and an overview of the various populations.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
MTHY,504,Music Therapy with Children and Adolescents,"This course provides in depth coverage of music therapy clinical practice with diverse child and adolescent populations. This includes assessment techniques, intervention methods and strategies, improvisation, and an overview of the various populations.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
MTHY,510,Music Therapy Practicum I,"Co-requisite: MTHY 503.
This practicum course with adults is one in a series of practica that cumulatively fulfills the requirements of the 200-hour preclinical and the 1,000-hour supervised clinical internship requirements, as stipulated by the professional program approval associations (the Canadian Association for Music Therapy and the American Music Therapy Association). Students develop as professional music therapists within a social, political and cultural context. Students acquire skills in the implementation of the principles and practices of music therapy within adult populations, including observation and assessment procedures, treatment planning, evaluation, and reporting in multi-disciplinary team settings. Students have the opportunity to explore, develop, and integrate academic and practical knowledge and skills within a clinical setting. A minimum of 300 practicum hours is required.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
MTHY,511,Music Therapy Practicum II,"Co-requisite: MTHY 504.
This practicum course within children and adolescent populations is one in a series of practica that cumulatively fulfills the requirements of the 200-hour pre-clinical and the 1,000-hour supervised clinical internship requirements, as stipulated by the professional program approval associations (the Canadian Association for Music Therapy and the American Music Therapy Association). Students develop as professional music therapists within a social, political and cultural context. Students acquire skills in the implementation of the principles and practices of music therapy within child and adolescent populations, including observation and assessment procedures, treatment planning, evaluation, and reporting in multi-disciplinary team settings. Students have the opportunity to explore, develop, and integrate academic and practical knowledge and skills within a clinical setting. A minimum of 300 practicum hours is required.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
MTHY,512,Music Therapy Practicum III,"Prerequisites: MTHY 510 and MTHY 511.
This practicum course with diverse populations is the final in a series of practica that cumulatively fulfills the requirements of the 200-hour preclinical and the 1,000-hour supervised clinical internship requirements, as stipulated by the professional program approval associations (the Canadian Association for Music Therapy and the American Music Therapy Association). Students develop as professional music therapists within a social, political and cultural context. With a greater focus on clinical work in this practicum, students have the opportunity to specialize in a clinical population of their choice, preparing for future careers and/or graduate studies in music therapy. A minimum of 600 practicum hours is required. Students are also required to attend classes which may be offered as weekend intensives.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
MTHY,521,Clinical Improvisation in Music Therapy,"This course explores the basic applications of clinical improvisation processes in therapy and assessment. The specific focus is determined by identified student strengths and needs, and may include Nordoff and Robbins techniques, advanced piano techniques, analytical music therapy, and others.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
FMST,806,Proseminar I ,"Prerequisite: Enrolment in Film and Moving Image Studies; or written permission of the Mel Hoppenheim School of Cinema.
 Proseminar I is designed to give students a broad introduction to advanced film and moving image research by putting different periods, research methodologies, theories, and genres into dynamic relation. Written assignments are required as well as an oral presentation.
Note: Students who have received credit for FMST 800 may not take this course for credit.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
FMST,807,Proseminar II ,"Prerequisite: FMST 806; or written permission of the Mel Hoppenheim School of Cinema.
 Proseminar II is designed to give students a broad introduction to advanced film and moving image research by putting different periods, research methodologies, theories,and genres into dynamic relation. Written assignments are required as well as an oral presentation.
Note: Students who have received credit for FMST 800 may not take this course for credit.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
Cluster,Cour,," The specific content of the seminars in each of the four topics clusters will be decided by the doctoral program joint committee on a yearly basis, based on course proposals made by accredited faculty.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
FMST,801,Seminar in Film and Moving Image History,Advanced study and research in problems and issues related to film and moving image history and historiography. Topics for seminars in this cluster may include: Methods in Film Historiography; Methodological Aspects of Film-Archival Research; History of Film Technology; History of Film Institutions; History of Pre-Cinema and Early Cinema; History of Silent Cinema; History of Film Movements; History of Documentary Film; History of New Media.,http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
FMST,802,Seminar in Film and Moving Image Aesthetics," Advanced study and research in problems and issues of film aesthetics. Students examine the style associated with certain films, directors, genres, and national cinemas, or investigate film criticism and taste cultures. Topics for seminars in this cluster may include: Topics in Film Style and Form; Topics in Film Criticism; Film and the Other Arts: Topics in Aesthetic Theory; Topics in Directors; Topics in Moving Image and New Media Art: New Media Aesthetics; Performance.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
FMST,803,Seminar in Film and Moving Image Theory," Seminars in this cluster offer an in-depth investigation of a theory or a theoretical tradition in Film and Moving Image Studies. The course may focus on the work of a single theorist, or a particular approach or methodology. Topics for seminars in this cluster include: Interpretation and Hermeneutics; Reception Theory Narrative Theory; Topics in Classical Film Theory; Topics in Contemporary Film Theory; Topics in Film and Philosophy; Psychoanalysis and Film; Genre Theory; Semiotics; Topics in Cognitive Theory; Textual Analysis.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
FMST,804,"Seminar in Film, Moving Image and Cultural Theory"," Seminars in this cluster investigate film and the moving image from social and cultural perspectives. Topics for seminars in this cluster may include: Cinema and Modernity; Postmodernity and Globalization; Film, New Media, and Visual Culture, Queer Theory; Feminist Theory; Post-colonial Theory; Topics in Social and Political Theory; Topics in Cultural Studies, Film in the Context of Television and Consumer Culture.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
Elective,Cour,,Description not available,http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
FMST,805/,605 Topics in English Canadian Cinema," This seminar explores the spectrum of Canadian cinema and video produced in English, and features screenings of historical and contemporary works within fiction, documentary and experimental areas, and in some instances, video and television as well. The culture, political and institutional contexts of production and reception are emphasized, with textural analysis at the core.
Note: Students who have received credit for a topic in FMST 605 may not take that same topic under FMST 805 for credit.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
FMST,810/,610 Topics in Cinema Québécois," The course explores Québécois cinema culture. Emphasis is placed on the cultural and political contexts of production and reception. Topics may include the structure of the film industry in Québec, the role of the NFB and other institutions, avenues of distribution and exhibition, also particular groups of films, such as cinema direct, or on specific time periods, or the work of specific filmmakers.
Note: Students who have received credit for a topic in FMST 610 may not take that same topic under FMST 810 for credit.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
FMST,815/,615 Topics in European Cinema," This course covers topics in Russian, German, French, Italian, British, Spanish and Eastern European Cinemas. Questions of national culture, patterns of film production, distribution and reception, and aesthetic histories are covered. The course incorporates future experimental and documentary films as well as readings in specific cultural histories.
Note: Students who have received credit for a topic in FMST 615 may not take that same topic under FMST 815 for credit.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
FMST,820/,620 Topics in Non-European Cinema," This course focuses on Asian, African and South American filmmaking, film cultures and film industries, and comparative studies of issues pertinent to more than one of these cultures.
Note: Students who have received credit for a topic in FMST 620 may not take that same topic under FMST 820 for credit.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
FMST,825/,625 Topics in Film History," This course explores specific problems and methods of film historiography, and examines the practices associated with one or more of these methods. Course topics emphasize various historiographic methods and theories, problems of methodology and analysis.
Note: Students who have received credit for a topic in FMST 625 may not take that same topic under FMST 825 for credit.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
FMST,830/,630 Topics in Film Theory," This course is devoted to close readings of key tests in film theory, examining their background, intellectual histories, and analyzing their significance. Topics may concentrate on historical developments in film theory, or they may address a given method or approach.
Note: Students who have received credit for a topic in FMST 630 may not take that same topic under FMST 830 for credit.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
FMST,835/,635 Topics in Aesthetics and Cultural Theory," This course examines the broader cultural and aesthetic histories relevant to film theory and practice. These theories are studied in depth, beyond the limits of film studies, in order to situate film history and theory within other interdisciplinary perspectives. Topics may include postmodernism, modernism, philosophical aesthetics, sexual representation, Frankfurt School theory, postcolonialism, Marxism, deconstruction, and psychoanalysis.
Note: Students who have received credit for a topic in FMST 635 may not take that same topic under FMST 835 for credit.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
FMST,840/,640 Gender Issues in Film," This course provides an opportunity to contextualize a range of historical and theoretical feminist positions, and women’s film practices. Sample course topics include pornography, experimental feminist praxis, gender and race, or constructions of gender in specific historical periods or countries.
Note: Students who have received credit for a topic in FMST 640 may not take that same topic under FMST 840 for credit.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
FMST,845/,645 Topics in Film Genres," This course explores specific narrative film genres, such as the musical, the western, comedy, horror, melodrama and film noir. In each case, the history of the genre and its socio-historical dimensions is explored. Questions of genre transformation, popular mythology, cultural sources and parallel media, institutional analysis (studio practices) and spectatorship are addressed.
Note: Students who have received credit for a topic in FMST 645 may not take that same topic under FMST 845 for credit.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
FMST,850/,650 Topics in Experimental Film and Video," This course examines the history, aesthetics, theory and practice of experimental/avant-garde film and video, and may be organized around specific bodies of work, or theoretical issues such as the politics of representation, pure cinema, poetic structures, reflexivity, or documentary representation. Questions of medium specificity, modernism/postmodernism, performance art and theory, exhibition, distribution, canonization and criticism are addressed.
Note: Students who have received credit for a topic in FMST 650 may not take that same topic under FMST 850 for credit.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
