Course Subject,Course Number,Course Name,Course Description,See Also
ENGR,290,Introductory Engineering Team Design Project (3 credits),"Prerequisite: ENCS 282; ENGR 213, 233. The introductory team design project introduces students to teamwork, project management, engineering design for a complex problem, technical writing and technical presentation in a team environment. Students work in teams and each team designs and builds a prototype defined by the Department. Students present their design and demonstrate that their design works in a competition at the end of the term. The students are also introduced to the basic principles of mechanics including the description of translational motion, rotational motion, forces and moments, work and energy, and they build a mechanical prototype to which the electronics and software are then added. A significant team project is required in this course. Lectures: three hours per week. Tutorial: two hours per week.
NOTE: All written documentation must follow the Concordia Form and Style guide. Students are responsible for obtaining this document before beginning the project.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENGR,301,Engineering Management Principles and Economics (3 credits),Introduction to project delivery systems. Principles of project management; role and activity of a manager; enterprise organizational charts; cost estimating; planning and control. Company finances; interest and time value of money; discounted cash flow; evaluation of projects in private and public sectors; depreciation methods; business tax regulations; decision tree; sensitivity analysis. Lectures: three hours per week. Tutorial: one hour per week.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENGR,308,Engineering C.Edge Option Reflective Learning III (3 credits),Prerequisite: ENGR 208 and permission of the GCS. This course further expands on the students’ third C.Edge term in their related field of study to further develop their knowledge and work-related skills.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENGR,311,Transform Calculus and Partial Differential Equations (3 credits),"Prerequisite: ENGR 213, 233. Elements of complex variables. The Laplace transform: Laplace transforms and their properties, solution of linear differential equations with constant coefficients. Further theorems and their applications. The Fourier transform: orthogonal functions, expan­sion of a function in orthogonal functions, the Fourier series, the Fourier integral, the Fourier transform, the convolution theorem. Partial differential equations: physical foundations of partial differential equations, introduction to boundary value problems. Lectures: three hours per week. Tutorial: two hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENGR,361,Fluid Mechanics I (3 credits),"Prerequisite: ENGR 213, 233, 251. Basic concepts and principles of fluid mechanics. Classification of fluid flow. Hydrostatic forces on plane and curved surfaces, buoyancy and stability, fluids in rigid body motion. Mass, momentum, and energy conservation integral equations. Bernoulli equation. Basic concepts of pipe and duct flow. Introduction to Navier-Stokes equations. Similarity and model studies. Lectures: three hours per week. Tutorial: one hour per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENGR,371,Probability and Statistics in Engineering (3 credits),"Prerequisite: ENGR 213, 233. Axioms of probability theory. Events. Conditional probability. Bayes theorem. Random variables. Mathematical expectation. Discrete and continuous probability density functions. Transformation of variables. Probabilistic models, statistics, and elements of hypothesis testing (sampling distributions and interval estimation). Introduction to statistical quality control. Applications to engineering problems. Lectures: three hours per week. Tutorial: one hour per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENGR,391,Numerical Methods in Engineering (3 credits),"Prerequisite: ENGR 213, 233; COMP 248 or COEN 243 or MECH 215 or MIAE 215 or BCEE 231. This course focuses on roots of algebraic and transcendental equations; function approximation; numerical differentiation; numerical integration; solution of simultaneous algebraic equations; numerical integration of ordinary differential equations. Lectures: three hours per week. Tutorial: one hour per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENGR,392,Impact of Technology on Society (3 credits),"Prerequisite: ENCS 282; ENGR 201, 202. Social history of technology and of science including the industrial revolution and modern times. Engineering and scientific creativity, social and environmental problems created by uncontrolled technology, appropriate technology. Lectures: three hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENGR,411,Special Technical Report (1 credit),"Prerequisite: ENCS 282; permission of the Department. Students must submit a report on a topic related to the students’ discipline and approved by the Department. The report must present a review of a current engineering problem, a proposal for a design project, or a current engineering practice.
NOTE: Students who have received credit for ENGR 410 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENGR,412,Honours Research Project (3 credits),"Prerequisite: ENCS 282; minimum 75 credits in the BEng program with a cumulative GPA of 3.00 or better; permission of the Department. Students work on a research project in their area of concentration, selected in consultation with and conducted under the supervision of a faculty member of the Department. The student’s work must culminate in a final report, as well as an oral presentation. Students planning to register for this course should consult with the Department prior to term of planned registration. Intended for students with potential interest in graduate programs.
NOTE: Must be approved by the Department prior to registration.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENGR,472,Robot Manipulators (3.5 credits),Prerequisite: ELEC 372 or MECH 371. Spatial descriptions and transformations. Manipulator forward and inverse kinematics. Jacobians: velocities and static forces. Manipulator dynamics. Trajectory generation. Position control of manipulators. Force control of manipulators. Robot programming languages. Lectures: three hours per week. Laboratory: 15 hours total.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENGR,490,Multidisciplinary Capstone Design Project (4 credits),"Prerequisite: Eligibility to register in one of these courses: AERO 490; BLDG 490; CIVI 490; COEN 490; ELEC 490; INDU 490; MECH 490; SOEN 490 or COMP 490. Students work on a supervised team project to solve a complex interdisciplinary design problem. The project is completed by a team of students from at least two different departments in GCS. The project must provide clear goals for each discipline-specific task and each student must have sufficient exposure to subjects in their program of study. Student eligibility and project topics for this course are subject to approval by the ENGR 490 Design Committee, which includes a member from each department in GCS that offers undergraduate programs. This committee vets each project to ensure the clarity and scope of the goals and its relevance to the learning outcomes of students from each discipline. The project is carried out over both fall and winter terms. Students are expected to provide a preliminary project proposal, a progress and a final report (as a group); take part in group discussions in audit sessions during the design phase; and participate in a poster session involving individual oral presentations at the end of the winter term. In addition to the technical aspects, students are expected to learn how to evaluate their designs for compliance to regulations, environmental and societal expectations and economic issues. Students learn how to work in a multidisciplinary environment and receive exposure to entrepreneurial skills. Lectures: one hour per week, two terms. Equivalent laboratory time: three hours per week, two terms.NOTE: Students work in groups under direct supervision of a faculty member.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENGR,498,Topics in Engineering (3 credits),Prerequisite: Permission of the GCS. This course may be offered in a given year upon the authorization of the GCS. The course content may vary from offering to offering.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
AERO,201,Introduction to Flight and Aerospace Systems (4 credits),"Prerequisite: ENGR 213 previously or concurrently. Introduction to flight vehicles in the atmosphere and in space; elements of aerodynamics, airfoils and wings; aerospace technologies including structures, materials and propulsion systems; elements of aircraft performance; basic principles of flight stability, control and systems integration; aspects of aircraft conceptual design. Lectures: three hours per week. Laboratory: four hours per week, alternate weeks.
NOTE: Permission of the Department is required for non-Aerospace Engineering students.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
AERO,290,Introduction to Aircraft Design (3 credits),"Prerequisite: AERO 201; ENCS 282 previously or concurrently. Students taking this course will work as part of a multidisciplinary team to solve an assigned aerospace conceptual design problem. The course provides introductory, design-related knowledge on aerospace design topics including structural layout, powerplant integration, integrated systems requirements (such as avionics, electrical, flight controls, hydraulic, fuel, air, pressurization) and preliminary performance predictions. Lectures instruct students on the conceptual design process; aircraft sizing including take-off weight, empty weight and fuel-fraction estimates; mission analysis and trade studies; airfoil selection; constraint diagrams for thrust-to-weight and wing loading estimation; fuselage layout, engines and control surface sizing; structural and systems layout; introductory stability, control and performance; and cost analysis methods. Lectures: three hours per week. Tutorial: two hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
AERO,371,Modelling and Control Systems (3.5 credits),"Prerequisite: PHYS 205; ENGR 213, 243; ENGR 311 or ELEC 342 or ELEC 364 previously or concurrently. Definition and classification of dynamic systems and components. Modelling of system components using ordinary differential equations: mechanical, electrical, electromechanical, and electrohydraulic subsystems in an airplane. Modelling of systems using transfer function models, block diagrams and signal flow graphs. Linearization of non-linear systems. Transient and steady-state character-istics of dynamic systems. Systems analyses using time domain methods, root-locus methods, and frequency response methods. Characteristics and performance of linear feedback control systems. System stability. Proportional, integral and derivative controllers. Simulation technique using Matlab/Simulink. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks.
NOTE: Students who have received credit for ELEC 372 or MECH 371 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
AERO,390,Aerospace Engineering Design Project (3 credits),"Prerequisite: AERO 290, 371; ENCS 282. This course focuses on general design philosophy and the design process. The following topics are covered: design factors such as product safety, reliability, life cycle costs and manufacturability; design in the aerospace context (vehicle and system design with regard to mission requirements, configuration, sizing, loads, etc.); mathematical modelling, analysis, and validation; introduction to Computer-Aided Design and Engineering (CAD and CAE); design documentation. A team-based project in which an aerospace system/subsystem is designed, implemented, documented and presented is an intrinsic part of this course. Lectures: three hours per week. Tutorial: two hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
AERO,417,"Standards, Regulations and Certification (3 credits)","Prerequisite: ENGR 201. Overview of DoT and other international aviation standards (e.g. FAA), regulations and certification procedures; regulatory areas, namely, pilot training/testing, air traffic procedures, aircraft systems design and airworthiness; development process for new regulations and criteria for certification. Lectures: three hours per week.
NOTE: Students who have received credit for ENGR 417 or for this topic under an ENGR 498 number may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
AERO,431,Principles of Aeroelasticity (3 credits),"Prerequisite: ENGR 243, 361; MECH 375. This course covers the following topics: aerodynamic loading of elastic airfoils; phenomenon of divergence; effect of flexible control surface on divergence of main structure; divergence of one- and two-dimensional wing models; phenomenon of flutter; flutter of two- and three-dimensional wings; flutter prevention and control; panel flutter in high-speed vehicles, flutter of turbomachine bladings, galloping vortex-induced oscillations, bridge buffeting. Lectures: three hours per week.
NOTE: Students who have received credit for MECH 431 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
AERO,446,Aerospace Vehicle Performance (3 credits),"Prerequisite: MECH 361. Introduction to fixed-wing aircraft operation. Flying environment and its measurement by aircraft instrumentation. Computation of lift and drag, effects of viscosity and compressibility. Review of piston, turboprop, turbojet and turbofan power plants. Operational performance of aircraft in climb, cruise, descent and on ground. Advanced aircraft systems. Operational considerations in aircraft design. Projects on selected topics. Lectures: three hours per week. Tutorial: one hour per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
AERO,455,Computational Fluid Dynamics for Aerospace Applications (3.75 credits),"Prerequisite: ENGR 311, 391; MECH 361. Introduction to computational methods in fluid dynamics using commercial CFD codes; aspects of geometry modelling, structured and unstructured grid generation, solution strategy, and post-processing; conversion of CAD to CFD models; an overview of basic numerical methods for the Navier-Stokes equations with emphasis on accuracy evaluation and efficiency. Elements of turbulence closure modelling. User-defined function for customized physical models into commercial CFD codes. Lectures: three hours per week. Laboratory: three hours per week, alternate weeks.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
AERO,462,Turbomachinery and Propulsion (3 credits),"Prerequisite: MECH 351, 361. Aircraft design process, preliminary sizing and thrust requirements. Rotary and fixed wing aerodynamics and stability. Helicopter configurations. Structure and fatigue design considerations. Review of the gas turbine cycle and components arrangement. Turbo-propulsion: turboprop, turbofan, turbojet and turboshafts. Energy transfer in turbo­machines: Euler equation, velocity triangles. Dimensional analysis of turbomachines. Flow in turbomachines. Three-dimensional flow in turbomachines. Mechanisms of losses in turbo­machines. Axial-flow turbines and compressors. Centrifugal compressors. Compressor and turbine performance maps; surge and stall. Lectures: three hours per week. Tutorial: one hour per week.
NOTE: Students who have received credit for MECH 462 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
AERO,464,Aerodynamics (3 credits),"Prerequisite: MECH 361. Flow conservation equations, incompressible Navier-Stokes equations, inviscid irrotational and rotational flows: the Euler equations, the potential and stream function equations. Dynamics of an incompressible inviscid flow field: the Kelvin, Stokes, and Helmholtz theorems. Elementary flows and their superposition, panel method for non-lifting bodies. Airfoil and wing characteristics, aerodynamic forces and moments coefficients. Incompressible flows around thin airfoils, Biot-Savart law, vortex sheets. Incompressible flow around thick airfoils, the panel method for lifting bodies. Incompressible flow around wings, Prandtl’s lifting line theory, induced angle and down-wash, unswept wings, swept wings. Compressible subsonic flow: linearized theory, Prandlt-Glauert equation and other compressibility correction rules, the area rule. Transonic flow: Von Karman’s ransonic small disturbance equation, transonic full potential equation, super-critical airfoils. Lectures: three hours per week. Tutorial: one hour per week.
NOTE: Students who have received credit for MECH 464 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
AERO,465,Gas Turbine Design (3.5 credits),"Prerequisite: AERO 462. Review of turbo-propulsion types and energy transfer in turbomachines. Two- and three-dimensional flow. Lift and drag for airfoils. Cascade tests and correlations. Aerodynamic losses: physics, mechanisms, control of viscous effects. Preliminary and detailed design of turbines and compressors. Structural and thermal design requirements. Failure considerations: creep, fatigue and corrosion. Performance matching. Combustion and gearbox design. Air and oil systems design requirements. Installations and acoustics. Evolution of design. Recent trends in technologies. Lectures: three hours per week. Laboratory: two hours per week, alternate weeks.
NOTE: Students who have received credit for MECH 465 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
AERO,471,Aircraft Hydro-Mechanical and Fuel Systems (3.5 credits),"Prerequisite: AERO 201 or permission of the Department. This course focuses on design principles and sizing of the following aircraft systems: hydraulic system, primary and secondary flight control actuation systems, landing gear systems, and fuel system. Traditional and new technology implementations in aircraft, helicopters and other aerospace vehicles are considered. Associated standards and regulations are described. Principles of architecture development and integration, as well as engineering tools for system sizing and simulation, are covered. Lectures: three hours per week. Laboratory: 12 hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
AERO,472,Aircraft Pneumatic and Electrical Power Systems (3.5 credits),"Prerequisite: AERO 201; ENGR 361. This course focuses on design principles and sizing of the following aircraft systems: electrical power system, auxiliary and emergency power systems, environmental control system, ice and rain protection system, and pneumatic power system. Traditional and new technology implementations in aircraft, helicopters and other aerospace vehicles are considered. Associated standards and regulations are described. Principles of architecture development and integration, as well as engineering tools for system sizing and simulation, are covered. A project is required, including a laboratory component. Lectures: three hours per week. Laboratory: 12 hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
AERO,480,Flight Control Systems (3.5 credits),"Prerequisite: AERO 371 or ELEC 372 or MECH 371 or SOEN 385. Basic flight control and flight dynamics principles. Aircraft dynamic equations and performance data. Implementation of aircraft control: control surfaces and their operations, development of thrust and its control; autopilot systems, their algorithms, dynamics and interaction problems. Flight instruments, principles of operation and dynamics. Cockpit layouts — basic configuration, ergonomic design, control field forces; advanced concepts in instruments, avionics and displays; HUD; flight management systems, and communication equipment. Introduction to flight simulation: overview of visual, audio and motion simulator systems; advanced concepts in flight simulators. Lectures: three hours per week. Laboratory: two hours per week, alternate weeks.
NOTE: Students who have received credit for ELEC 415 or MECH 480 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
AERO,481,Materials Engineering for Aerospace (3.5 credits),"Prerequisite: MECH 221 or MIAE 221. Different types of materials used in aerospace. Metals, composites, ceramics, polymers. Failure prediction and prevention. Modes of material failure, fracture, fatigue, creep, corrosion, impact. Effect of high temperature and multiaxial loadings. High temperature materials. Cumulative damage in fatigue and creep. Materials selection. Lectures: three hours per week. Laboratory: two hours per week, alternate weeks.
NOTE: Students who have received credit for MECH 321 or 481 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
AERO,482,Avionic Navigation Systems (3 credits),"Prerequisite: ENGR 371 or COMP 233; AERO 371 or ELEC 372 or MECH 370 or SOEN 385. Basics of modern electronic navigation systems, history of air navigation, earth coordinate and mapping systems; basic theory and analysis of modern electronic navigation instrumentation, communication and radar systems, approach aids, airborne systems, transmitters and antenna coverage; noise and losses, target detection, digital processing, display systems and technology; demonstration of avionic systems using flight simulator. Lectures: three hours per week.
NOTE: Students who have received credit for ELEC 416 or MECH 482 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
AERO,483,Integration of Avionics Systems (3 credits),"Prerequisite: AERO 482. Introduction to the basic principles of integration of avionics systems; review of Earth’s geometry and Newton’s laws; inertial navigation sensors and systems (INS); errors and uncertainty in navigation; Global Positioning System (GPS); differential and carrier tracking GPS applications; terrestrial radio navigation systems; Kalman filtering; integration of navigation systems using Kalman filtering; integration of GPS and INS using Kalman filtering. Lectures: three hours per week.
NOTE: Students who have received credit for ENGR 418 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
AERO,485,Introduction to Space Systems (3 credits),"Prerequisite: MECH 351, 361. Classification of space propulsion systems; Tsiolkovskj’s equation; ideal rocket and nozzle design; flight performance; basic orbital mechanics; chemical propellant rocket performance analysis; fundamentals of liquid and solid propellant rocket motors; electric, solar, fusion thruster. Lectures: three hours per week.
NOTE: Students who have received credit for MECH 485 or for this topic under a MECH 498 number may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
AERO,486,Aircraft Stress Analysis (3 credits),"Prerequisite: ENGR 243, 244. Definition of load paths in typical aircraft structures. Derivation of analysis procedures to enable the designer to size preliminary designs. Internal shear flow distributions that balance external loads. Stress analysis of open and closed cell beams; statically indeterminate beams and frames; single and multi cell torque boxes; symmetric heavy fuselage frames. Structural instability of columns, beams, plates and flanges in compression and shear. Centres of twist and flexure; structural warping; margins of safety; concepts of optimum design; lug analysis and mechanical joints; matrix analysis methods leading to the Finite Element method. Stress analysis of thin-walled metallic structures. Lectures: three hours per week.
NOTE: Students who have received credit for MECH 486 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
AERO,487,Design of Aircraft Structures (3 credits),"Prerequisite: AERO 486. Design process for aircraft structures. Aero/performance aspects of aircraft structures. Airworthiness and design considerations. Materials. Static, vibratory and aeroelastic loadings. Propulsion-induced loadings. Functions and fabrication of structural components. Design for buckling of aircraft structures: local buckling, instability of stiffened panels, flexural torsional buckling. Design for fracture and fatigue failures. Stress analysis and design of wings, fuselages, stringers, fuselage frames, wing ribs, cut-outs in wings and fuselages, and laminated structures. Design using Finite Element Method. Concept of Optimum Design of Aircraft Structures. Design case studies. Lectures: three hours per week.
NOTE: Students who have received credit for MECH 487 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
AERO,490,Capstone Aerospace Engineering Design Project (4 credits),"Prerequisite: 75 credits in the program; AERO 390; ENGR 301. This course includes a supervised design, simulation or experimental capstone design project including a preliminary project proposal with complete project plan and a technical report at the end of the fall term; a final report by the group and presentation at the end of the winter term. Lectures: one hour per week, one term. Equivalent laboratory time: three hours per week, two terms.
NOTE: Students will work in groups under direct supervision of a faculty member.
NOTE: With permission of the Department, students may enrol in MECH 490 instead of AERO 490 on the condition that they choose to complete an aerospace-oriented project.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
